ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
A_23_P16733,2.61E-02,2.83E-03,3.22,-2.015619,9.93E-01,RALB,RALB Ras like proto-oncogene B
A_24_P827037,2.61E-02,2.83E-03,-3.22,-2.015879,-3.1,LRRC15,leucine rich repeat containing 15
A_24_P830361,2.61E-02,2.84E-03,3.22,-2.016506,2.19,,
A_23_P21086,2.61E-02,2.84E-03,-3.22,-2.016844,-1.43,LGI3,leucine rich repeat LGI family member 3
A_24_P340679,2.61E-02,2.84E-03,3.22,-2.017671,8.95E-01,PPIA,peptidylprolyl isomerase A
A_24_P230521,2.61E-02,2.84E-03,-3.22,-2.01866,-1.87,GPSM3,G-protein signaling modulator 3
A_23_P313550,2.62E-02,2.85E-03,-3.21,-2.021477,-2.17,SLC25A41,solute carrier family 25 member 41
A_32_P230537,2.62E-02,2.85E-03,-3.21,-2.022201,-1.85,,
A_23_P7402,2.62E-02,2.85E-03,-3.21,-2.022456,-1.59,PDZD2,PDZ domain containing 2
A_23_P100413,2.62E-02,2.86E-03,3.21,-2.024043,1.15,EXOSC6,exosome component 6
A_23_P366812,2.63E-02,2.86E-03,-3.21,-2.025283,-1.44,AQP5,aquaporin 5
A_24_P331675,2.63E-02,2.87E-03,3.21,-2.025878,3.27,C6orf10,chromosome 6 open reading frame 10
A_23_P428738,2.63E-02,2.87E-03,-3.21,-2.027451,-1.53,ANG,angiogenin
A_23_P75024,2.63E-02,2.87E-03,-3.21,-2.027876,-2.29,MSMB,microseminoprotein beta
A_23_P401718,2.63E-02,2.87E-03,-3.21,-2.028702,-1.49,CCDC74B,coiled-coil domain containing 74B
A_32_P12465,2.64E-02,2.88E-03,3.21,-2.030228,9.90E-01,,
A_23_P166280,2.64E-02,2.88E-03,-3.21,-2.030804,-1.2,,
A_23_P331943,2.64E-02,2.88E-03,3.21,-2.031151,7.25E-01,TMEM181,transmembrane protein 181
A_24_P313334,2.64E-02,2.88E-03,-3.21,-2.032152,-7.29E-01,SERF2,small EDRK-rich factor 2
A_23_P401904,2.65E-02,2.89E-03,3.21,-2.034348,9.59E-01,PHF19,PHD finger protein 19
A_24_P854758,2.65E-02,2.89E-03,-3.21,-2.034381,-9.17E-01,,
A_23_P60591,2.65E-02,2.89E-03,3.21,-2.034604,1.38,DNAJC7,DnaJ heat shock protein family (Hsp40) member C7
A_32_P122373,2.65E-02,2.90E-03,-3.21,-2.035795,-1.54,MST1P2,macrophage stimulating 1 pseudogene 2
A_23_P384355,2.65E-02,2.90E-03,3.21,-2.036137,2.32,,
A_24_P280684,2.65E-02,2.90E-03,-3.21,-2.036912,-1.65,FBXO40,F-box protein 40
A_23_P164415,2.66E-02,2.91E-03,3.21,-2.039184,1.39,CCDC40,coiled-coil domain containing 40
A_23_P27167,2.66E-02,2.91E-03,3.21,-2.039418,9.52E-01,RNASEH1,ribonuclease H1
A_32_P20300,2.66E-02,2.92E-03,-3.21,-2.042098,-1.34,,
A_24_P612921,2.67E-02,2.92E-03,3.21,-2.042701,1.83,,
A_32_P200600,2.67E-02,2.92E-03,3.21,-2.043217,7.00E-01,,
A_32_P91385,2.67E-02,2.92E-03,-3.21,-2.043345,-1.65,,
A_23_P2814,2.67E-02,2.92E-03,-3.21,-2.043751,-1.54,SMAD9,SMAD family member 9
A_23_P427334,2.67E-02,2.92E-03,3.21,-2.04441,1.08,,
A_24_P397043,2.67E-02,2.92E-03,-3.21,-2.044806,-2.08,ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1"
A_23_P21393,2.67E-02,2.93E-03,-3.21,-2.045134,-2.01,,
A_23_P146572,2.67E-02,2.93E-03,-3.21,-2.045233,-1.57,NPDC1,"neural proliferation, differentiation and control 1"
A_23_P74920,2.67E-02,2.93E-03,-3.21,-2.045348,-4.78,LCE2B,late cornified envelope 2B
A_32_P179686,2.67E-02,2.93E-03,-3.2,-2.045573,-1.14,ZNF652,zinc finger protein 652
A_23_P59375,2.67E-02,2.93E-03,-3.2,-2.046744,-1.67,ID4,"inhibitor of DNA binding 4, HLH protein"
A_23_P126727,2.67E-02,2.93E-03,3.2,-2.047629,1.09,NOL9,nucleolar protein 9
A_24_P802145,2.68E-02,2.94E-03,3.2,-2.049486,1.37,IRS1,insulin receptor substrate 1
A_23_P347169,2.68E-02,2.94E-03,-3.2,-2.049611,-1.28,MTUS1,microtubule associated tumor suppressor 1
A_23_P303803,2.68E-02,2.94E-03,-3.2,-2.050295,-2.07,C19orf18,chromosome 19 open reading frame 18
A_23_P101013,2.68E-02,2.94E-03,3.2,-2.050767,6.85E-01,TMC6,transmembrane channel like 6
A_23_P257296,2.68E-02,2.94E-03,-3.2,-2.051338,-2.66,TFF3,trefoil factor 3
A_23_P161269,2.68E-02,2.95E-03,3.2,-2.052516,1.07,CSGALNACT2,chondroitin sulfate N-acetylgalactosaminyltransferase 2
A_23_P339687,2.69E-02,2.95E-03,-3.2,-2.053867,-1.18,ZNF675,zinc finger protein 675
A_32_P37584,2.69E-02,2.96E-03,-3.2,-2.054811,-1.13,,
A_23_P323685,2.69E-02,2.96E-03,3.2,-2.055555,1,HIST1H4H,"histone cluster 1, H4h"
A_32_P160615,2.69E-02,2.96E-03,-3.2,-2.056714,-1.44,,
A_23_P426944,2.69E-02,2.96E-03,-3.2,-2.057261,-1.73,PAX9,paired box 9
A_23_P422933,2.69E-02,2.96E-03,-3.2,-2.057602,-1.87,ARHGAP20,Rho GTPase activating protein 20
A_24_P90022,2.70E-02,2.97E-03,-3.2,-2.060721,-8.90E-01,SEPHS1,selenophosphate synthetase 1
A_23_P303210,2.70E-02,2.97E-03,3.2,-2.060761,1.17,IKBIP,IKBKB interacting protein
A_23_P121480,2.70E-02,2.98E-03,-3.2,-2.061487,-1.45,CD200,CD200 molecule
A_23_P118025,2.70E-02,2.98E-03,-3.2,-2.061855,-1.32,DPEP2,dipeptidase 2
A_23_P133470,2.71E-02,2.99E-03,-3.2,-2.064042,-8.48E-01,PJA2,praja ring finger ubiquitin ligase 2
A_23_P502879,2.71E-02,2.99E-03,-3.2,-2.064416,-1.95,LPAR1,lysophosphatidic acid receptor 1
A_23_P168771,2.71E-02,2.99E-03,-3.2,-2.065466,-1.32,CCDC146,coiled-coil domain containing 146
A_23_P25913,2.72E-02,3.00E-03,3.2,-2.067564,1.34,DNAL1,dynein axonemal light chain 1
A_23_P71946,2.72E-02,3.00E-03,-3.2,-2.067801,-3.74,BSPRY,B-box and SPRY domain containing
A_24_P820663,2.72E-02,3.00E-03,-3.2,-2.067831,-1.44,,
A_24_P225468,2.72E-02,3.00E-03,3.2,-2.067912,6.81E-01,ANP32E,acidic nuclear phosphoprotein 32 family member E
A_23_P143356,2.72E-02,3.00E-03,-3.2,-2.06853,-1.1,RALGAPA2,Ral GTPase activating protein catalytic alpha subunit 2
A_23_P373028,2.72E-02,3.00E-03,-3.2,-2.069821,-1.43,CACNA1C,calcium voltage-gated channel subunit alpha1 C
A_32_P137826,2.72E-02,3.01E-03,-3.2,-2.070102,-1.61,,
A_24_P923370,2.72E-02,3.01E-03,3.19,-2.070372,1.52,HAVCR2,hepatitis A virus cellular receptor 2
A_23_P117104,2.73E-02,3.01E-03,-3.19,-2.071772,-3.81,AQP5,aquaporin 5
A_32_P128349,2.73E-02,3.01E-03,3.19,-2.073073,1.09,,
A_23_P132263,2.73E-02,3.02E-03,-3.19,-2.073285,-7.96E-01,EIF4ENIF1,eukaryotic translation initiation factor 4E nuclear import factor 1
A_24_P367227,2.73E-02,3.02E-03,3.19,-2.073667,1.67,MYBL1,MYB proto-oncogene like 1
A_24_P363134,2.73E-02,3.02E-03,3.19,-2.074184,1.46,TRIM36,tripartite motif containing 36
A_24_P226355,2.73E-02,3.02E-03,-3.19,-2.074757,-1.22,RANBP9,RAN binding protein 9
A_23_P158570,2.73E-02,3.02E-03,-3.19,-2.076227,-1.62,ACADSB,"acyl-CoA dehydrogenase, short/branched chain"
A_23_P38567,2.73E-02,3.03E-03,3.19,-2.076288,1.19,SPECC1,sperm antigen with calponin homology and coiled-coil domains 1
A_24_P367843,2.73E-02,3.03E-03,-3.19,-2.076288,-1.37,LOC101929552,uncharacterized LOC101929552
A_23_P130731,2.73E-02,3.03E-03,-3.19,-2.07649,-9.46E-01,TBC1D17,TBC1 domain family member 17
A_24_P37519,2.73E-02,3.03E-03,-3.19,-2.076652,-1.01,LZTFL1,leucine zipper transcription factor like 1
A_23_P167384,2.74E-02,3.03E-03,-3.19,-2.077657,-9.62E-01,TRIM23,tripartite motif containing 23
A_23_P208991,2.74E-02,3.03E-03,-3.19,-2.077819,-1.78,PALM,paralemmin
A_23_P79999,2.74E-02,3.04E-03,3.19,-2.079365,1.03,ENTPD6,ectonucleoside triphosphate diphosphohydrolase 6 (putative)
A_24_P381441,2.74E-02,3.04E-03,-3.19,-2.080346,-1.5,LMO3,LIM domain only 3
A_23_P28898,2.74E-02,3.04E-03,-3.19,-2.081075,-1.99,PLCB4,phospholipase C beta 4
A_24_P255415,2.75E-02,3.05E-03,-3.19,-2.082675,-1.75,HSPC102,uncharacterized HSPC102
A_24_P208909,2.75E-02,3.05E-03,-3.19,-2.083197,-1.55,TRIM2,tripartite motif containing 2
A_32_P35311,2.75E-02,3.05E-03,3.19,-2.084166,5.53E-01,PABPN1,poly(A) binding protein nuclear 1
A_23_P255952,2.75E-02,3.05E-03,-3.19,-2.084227,-1.26,MYO6,myosin VI
A_23_P106042,2.76E-02,3.06E-03,-3.19,-2.086057,-1.81,CMTM5,CKLF like MARVEL transmembrane domain containing 5
A_24_P334361,2.76E-02,3.06E-03,3.19,-2.086443,2.28,DDX60,DEXD/H-box helicase 60
A_32_P116481,2.76E-02,3.06E-03,-3.19,-2.087259,-1.7,LRRC37A4P,"leucine rich repeat containing 37 member A4, pseudogene"
A_23_P156310,2.76E-02,3.06E-03,3.19,-2.088038,1.46,SKP2,"S-phase kinase-associated protein 2, E3 ubiquitin protein ligase"
A_24_P296254,2.76E-02,3.06E-03,3.19,-2.088099,1.32,ARHGAP11A,Rho GTPase activating protein 11A
A_32_P787109,2.77E-02,3.07E-03,-3.19,-2.090048,-1.45,DTHD1,death domain containing 1
A_23_P210869,2.77E-02,3.07E-03,-3.19,-2.091016,-1.19,COX4I2,cytochrome c oxidase subunit 4I2
A_32_P197561,2.77E-02,3.08E-03,-3.19,-2.091493,-1.51,EBF1,early B-cell factor 1
A_23_P8571,2.77E-02,3.08E-03,3.19,-2.092362,1.38,SSC4D,scavenger receptor cysteine rich family member with 4 domains
A_23_P307310,2.77E-02,3.08E-03,3.19,-2.092465,1.43,ACAN,aggrecan
A_24_P517918,2.77E-02,3.08E-03,-3.19,-2.092922,-1.49,,
A_32_P227158,2.77E-02,3.08E-03,3.19,-2.094139,1.95,,
A_23_P19712,2.78E-02,3.09E-03,3.19,-2.094685,9.22E-01,GMNN,"geminin, DNA replication inhibitor"
A_23_P171237,2.78E-02,3.09E-03,-3.18,-2.095519,-1.43,ACRC,acidic repeat containing
A_23_P118660,2.78E-02,3.09E-03,3.18,-2.095554,6.60E-01,DDX52,DEAD-box helicase 52
A_23_P130753,2.78E-02,3.09E-03,-3.18,-2.097011,-1.4,DBP,D-box binding PAR bZIP transcription factor
A_23_P90612,2.78E-02,3.09E-03,3.18,-2.097244,8.73E-01,MCM6,minichromosome maintenance complex component 6
A_24_P58549,2.78E-02,3.09E-03,-3.18,-2.097271,-1.33,ZNF273,zinc finger protein 273
A_32_P37235,2.78E-02,3.09E-03,-3.18,-2.097307,-1.48,C10orf71-AS1,C10orf71 antisense RNA 1
A_23_P50815,2.78E-02,3.10E-03,-3.18,-2.098074,-2.07,TTYH1,tweety family member 1
A_23_P144746,2.79E-02,3.11E-03,-3.18,-2.100872,-1.62,ZNF454,zinc finger protein 454
A_23_P255016,2.79E-02,3.11E-03,3.18,-2.101553,7.62E-01,UGGT1,UDP-glucose glycoprotein glucosyltransferase 1
A_23_P124035,2.79E-02,3.11E-03,3.18,-2.102077,7.79E-01,MRPL14,mitochondrial ribosomal protein L14
A_24_P252364,2.79E-02,3.11E-03,-3.18,-2.102408,-2.3,NRCAM,neuronal cell adhesion molecule
A_24_P778844,2.79E-02,3.11E-03,-3.18,-2.102675,-1.87,C15orf59,chromosome 15 open reading frame 59
A_23_P213908,2.79E-02,3.12E-03,3.18,-2.103491,6.66E-01,PHAX,phosphorylated adaptor for RNA export
A_23_P114649,2.80E-02,3.12E-03,3.18,-2.104763,8.48E-01,MIIP,migration and invasion inhibitory protein
A_24_P101391,2.80E-02,3.12E-03,3.18,-2.104854,7.63E-01,YBX1,Y-box binding protein 1
A_24_P620066,2.80E-02,3.12E-03,-3.18,-2.105016,-1.41,,
A_23_P17420,2.80E-02,3.13E-03,-3.18,-2.106515,-2.37,BCAS1,breast carcinoma amplified sequence 1
A_24_P307486,2.80E-02,3.13E-03,3.18,-2.1066,1.06,,
A_32_P149072,2.80E-02,3.13E-03,-3.18,-2.10661,-1.9,,
A_24_P201021,2.80E-02,3.13E-03,-3.18,-2.106675,-2.39,PSCA,prostate stem cell antigen
A_23_P425752,2.80E-02,3.13E-03,3.18,-2.106701,1.08,TRIM14,tripartite motif containing 14
A_24_P467073,2.80E-02,3.13E-03,-3.18,-2.106898,-1.94,SMIM6,small integral membrane protein 6
A_32_P140898,2.80E-02,3.13E-03,3.18,-2.10757,1.15,FOXN2,forkhead box N2
