ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
A_32_P933041,5.31E-01,3.00E-01,1.05,-6.013938,7.45E-01,LINC01356,long intergenic non-protein coding RNA 1356
A_23_P415411,5.31E-01,3.00E-01,1.05,-6.01394,4.02E-01,HIST1H4E,"histone cluster 1, H4e"
A_32_P86369,5.31E-01,3.00E-01,-1.05,-6.014004,-5.13E-01,,
A_24_P24905,5.31E-01,3.00E-01,-1.05,-6.014285,-4.66E-01,DIRAS2,DIRAS family GTPase 2
A_23_P99036,5.31E-01,3.00E-01,1.05,-6.014299,4.40E-01,ACVR1B,activin A receptor type 1B
A_24_P227450,5.31E-01,3.00E-01,1.05,-6.014305,3.41E-01,ACAD10,acyl-CoA dehydrogenase family member 10
A_23_P48637,5.31E-01,3.00E-01,1.05,-6.014318,3.38E-01,,
A_24_P248079,5.31E-01,3.00E-01,1.05,-6.014337,6.75E-01,,
A_24_P364025,5.31E-01,3.00E-01,-1.05,-6.014555,-3.17E-01,UBE2D1,ubiquitin conjugating enzyme E2 D1
A_24_P820201,5.31E-01,3.00E-01,-1.05,-6.014642,-5.18E-01,,
A_24_P11575,5.31E-01,3.00E-01,-1.05,-6.014699,-4.70E-01,CRIM1,cysteine rich transmembrane BMP regulator 1
A_23_P306352,5.31E-01,3.00E-01,1.05,-6.014817,4.39E-01,RGAG1,retrotransposon gag domain containing 1
A_32_P61884,5.31E-01,3.00E-01,1.05,-6.014853,8.34E-01,,
A_23_P30813,5.31E-01,3.00E-01,1.05,-6.014879,3.95E-01,HIST1H4K,"histone cluster 1, H4k"
A_24_P393496,5.31E-01,3.00E-01,1.05,-6.014961,7.06E-01,LOC100288798,uncharacterized LOC100288798
A_32_P196669,5.31E-01,3.00E-01,1.05,-6.014985,5.13E-01,,
A_23_P211785,5.31E-01,3.00E-01,-1.05,-6.01503,-3.44E-01,ZNF35,zinc finger protein 35
A_23_P148410,5.31E-01,3.00E-01,1.05,-6.01505,6.11E-01,FTHL17,ferritin heavy chain like 17
A_32_P205973,5.31E-01,3.00E-01,-1.05,-6.015059,-5.04E-01,,
A_23_P34473,5.31E-01,3.00E-01,-1.05,-6.015134,-4.71E-01,RPE65,"RPE65, retinoid isomerohydrolase"
A_23_P403991,5.31E-01,3.00E-01,-1.05,-6.015139,-5.18E-01,TRPM8,transient receptor potential cation channel subfamily M member 8
A_24_P327084,5.31E-01,3.00E-01,1.05,-6.015203,4.68E-01,PRSS33,"protease, serine 33"
A_24_P253100,5.31E-01,3.00E-01,1.05,-6.015238,3.44E-01,PDE4DIP,phosphodiesterase 4D interacting protein
A_23_P95810,5.31E-01,3.00E-01,-1.05,-6.015445,-3.68E-01,PKP3,plakophilin 3
A_24_P119519,5.31E-01,3.00E-01,1.05,-6.015507,3.73E-01,LIG3,DNA ligase 3
A_32_P102745,5.31E-01,3.00E-01,-1.05,-6.015565,-5.28E-01,,
A_23_P86230,5.31E-01,3.00E-01,-1.05,-6.015585,-4.05E-01,MYCBP,MYC binding protein
A_23_P418282,5.31E-01,3.00E-01,-1.05,-6.015619,-5.18E-01,MMACHC,"methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria"
A_23_P114616,5.31E-01,3.00E-01,-1.05,-6.015658,-2.08E-01,ANKRD13C,ankyrin repeat domain 13C
A_24_P179416,5.31E-01,3.00E-01,-1.05,-6.015803,-5.49E-01,FLJ37035,uncharacterized LOC399821
A_32_P8952,5.31E-01,3.01E-01,1.05,-6.015853,3.63E-01,LMBRD2,LMBR1 domain containing 2
A_32_P58699,5.31E-01,3.01E-01,-1.05,-6.015886,-4.64E-01,LRRC63,leucine rich repeat containing 63
A_23_P204850,5.31E-01,3.01E-01,1.05,-6.01591,2.41E-01,RB1,RB transcriptional corepressor 1
A_23_P143016,5.31E-01,3.01E-01,1.05,-6.015917,3.31E-01,ARID5A,AT-rich interaction domain 5A
A_23_P138567,5.31E-01,3.01E-01,1.05,-6.015992,4.83E-01,AIFM2,"apoptosis inducing factor, mitochondria associated 2"
A_24_P699526,5.31E-01,3.01E-01,-1.05,-6.016019,-5.17E-01,,
A_24_P316270,5.31E-01,3.01E-01,1.05,-6.016028,3.40E-01,,
A_24_P282363,5.31E-01,3.01E-01,-1.05,-6.016036,-4.10E-01,,
A_23_P20704,5.31E-01,3.01E-01,-1.05,-6.016062,-6.27E-01,IFNA10,interferon alpha 10
A_23_P204170,5.31E-01,3.01E-01,1.05,-6.016093,4.43E-01,TMPO,thymopoietin
A_24_P544872,5.31E-01,3.01E-01,-1.05,-6.016123,-4.55E-01,,
A_32_P124266,5.31E-01,3.01E-01,1.05,-6.016185,8.92E-01,,
A_24_P238426,5.32E-01,3.01E-01,-1.05,-6.01635,-3.46E-01,,
A_32_P146320,5.32E-01,3.01E-01,-1.05,-6.01643,-6.50E-01,,
A_23_P124542,5.32E-01,3.01E-01,-1.05,-6.016439,-4.82E-01,CR2,complement component 3d receptor 2
A_23_P24835,5.32E-01,3.01E-01,-1.05,-6.016449,-5.10E-01,PTH,parathyroid hormone
A_23_P396842,5.32E-01,3.01E-01,-1.05,-6.016491,-2.56E-01,C6orf89,chromosome 6 open reading frame 89
A_32_P15139,5.32E-01,3.01E-01,-1.05,-6.01655,-3.11E-01,,
A_24_P878561,5.32E-01,3.01E-01,-1.05,-6.016563,-4.88E-01,,
A_23_P500542,5.32E-01,3.01E-01,1.05,-6.016675,5.58E-01,DMBX1,diencephalon/mesencephalon homeobox 1
A_32_P86264,5.32E-01,3.01E-01,-1.05,-6.016747,-7.11E-01,,
A_24_P650425,5.32E-01,3.01E-01,-1.05,-6.01681,-4.38E-01,,
A_24_P538250,5.32E-01,3.01E-01,1.05,-6.016831,5.15E-01,,
A_32_P17416,5.32E-01,3.01E-01,1.05,-6.016854,5.97E-01,,
A_24_P408772,5.32E-01,3.01E-01,1.05,-6.016862,4.68E-01,NAMPT,nicotinamide phosphoribosyltransferase
A_32_P229023,5.32E-01,3.01E-01,-1.05,-6.016976,-5.64E-01,,
A_24_P824453,5.32E-01,3.01E-01,-1.05,-6.01703,-4.50E-01,,
A_32_P222961,5.32E-01,3.01E-01,1.05,-6.017043,4.91E-01,SPIN4,spindlin family member 4
A_23_P208636,5.32E-01,3.01E-01,1.05,-6.017102,8.12E-01,SHANK1,SH3 and multiple ankyrin repeat domains 1
A_24_P920699,5.32E-01,3.01E-01,-1.05,-6.017121,-5.17E-01,,
A_32_P735636,5.32E-01,3.01E-01,1.05,-6.017134,8.02E-01,NAXD,NAD(P)HX dehydratase
A_24_P923900,5.32E-01,3.01E-01,-1.05,-6.017149,-4.70E-01,,
A_24_P616082,5.32E-01,3.01E-01,1.05,-6.017306,6.08E-01,,
A_24_P83437,5.32E-01,3.01E-01,-1.05,-6.01732,-4.80E-01,ZNF326,zinc finger protein 326
A_24_P22821,5.32E-01,3.01E-01,-1.05,-6.017332,-4.68E-01,DHX34,DEAH-box helicase 34
A_23_P417261,5.32E-01,3.01E-01,-1.05,-6.017361,-5.63E-01,EFHB,EF-hand domain family member B
A_24_P302249,5.32E-01,3.01E-01,-1.05,-6.017474,-4.71E-01,APOA2,apolipoprotein A2
A_23_P142255,5.32E-01,3.01E-01,1.05,-6.017611,4.21E-01,SHD,Src homology 2 domain containing transforming protein D
A_24_P184460,5.32E-01,3.01E-01,1.05,-6.017763,2.25E-01,ARL6IP4,ADP ribosylation factor like GTPase 6 interacting protein 4
A_32_P76035,5.32E-01,3.01E-01,1.05,-6.017765,3.46E-01,PNPT1,polyribonucleotide nucleotidyltransferase 1
A_24_P48403,5.32E-01,3.01E-01,1.05,-6.017783,3.30E-01,YES1,"YES proto-oncogene 1, Src family tyrosine kinase"
A_24_P486503,5.32E-01,3.01E-01,1.05,-6.017833,4.35E-01,,
A_32_P68408,5.32E-01,3.01E-01,1.05,-6.017882,2.92E-01,CSNK1A1P1,casein kinase 1 alpha 1 pseudogene 1
A_23_P149189,5.32E-01,3.01E-01,1.05,-6.017914,4.97E-01,ZP4,zona pellucida glycoprotein 4
A_23_P129188,5.32E-01,3.01E-01,1.05,-6.017928,3.26E-01,CALML4,calmodulin like 4
A_24_P144054,5.32E-01,3.02E-01,1.05,-6.01814,5.29E-01,,
A_24_P813520,5.32E-01,3.02E-01,-1.05,-6.018157,-5.94E-01,,
A_23_P159227,5.32E-01,3.02E-01,1.05,-6.018191,4.72E-01,ADAM15,ADAM metallopeptidase domain 15
A_24_P881430,5.32E-01,3.02E-01,-1.05,-6.018344,-5.26E-01,,
A_24_P580698,5.32E-01,3.02E-01,-1.05,-6.018389,-4.71E-01,,
A_23_P423926,5.32E-01,3.02E-01,-1.05,-6.018502,-2.72E-01,SS18L1,"SS18L1, nBAF chromatin remodeling complex subunit"
A_32_P51714,5.32E-01,3.02E-01,1.05,-6.018504,5.06E-01,,
A_23_P325593,5.32E-01,3.02E-01,-1.05,-6.018519,-4.92E-01,TERB2,telomere repeat binding bouquet formation protein 2
A_24_P148043,5.32E-01,3.02E-01,1.05,-6.018614,2.69E-01,FAM20B,family with sequence similarity 20 member B
A_24_P562837,5.32E-01,3.02E-01,1.05,-6.01866,7.63E-01,,
A_23_P169423,5.32E-01,3.02E-01,1.05,-6.018664,2.37E-01,UBE2R2,ubiquitin conjugating enzyme E2 R2
A_23_P370786,5.32E-01,3.02E-01,-1.05,-6.018673,-5.05E-01,OR2L13,olfactory receptor family 2 subfamily L member 13
A_23_P3627,5.32E-01,3.02E-01,1.05,-6.018863,2.63E-01,SPG7,"SPG7, paraplegin matrix AAA peptidase subunit"
A_24_P931993,5.32E-01,3.02E-01,1.05,-6.018871,4.05E-01,,
A_24_P703642,5.32E-01,3.02E-01,-1.05,-6.018885,-1.01,,
A_24_P490911,5.32E-01,3.02E-01,1.05,-6.01889,6.80E-01,,
A_23_P325100,5.32E-01,3.02E-01,1.05,-6.018909,7.46E-01,DMRT3,doublesex and mab-3 related transcription factor 3
A_23_P71591,5.33E-01,3.02E-01,1.05,-6.019101,3.66E-01,NOL8,nucleolar protein 8
A_32_P12065,5.33E-01,3.02E-01,-1.05,-6.01916,-7.22E-01,,
A_23_P44177,5.33E-01,3.02E-01,-1.05,-6.019194,-2.77E-01,C3orf38,chromosome 3 open reading frame 38
A_23_P3312,5.33E-01,3.02E-01,-1.05,-6.019197,-5.68E-01,ISLR,immunoglobulin superfamily containing leucine rich repeat
A_23_P106389,5.33E-01,3.02E-01,1.05,-6.019229,7.97E-01,SEMA7A,semaphorin 7A (John Milton Hagen blood group)
A_23_P18135,5.33E-01,3.02E-01,1.05,-6.019245,3.43E-01,MRPS25,mitochondrial ribosomal protein S25
A_24_P204043,5.33E-01,3.02E-01,1.05,-6.019316,4.14E-01,ZNF318,zinc finger protein 318
A_23_P68031,5.33E-01,3.02E-01,1.05,-6.019454,4.49E-01,STAT4,signal transducer and activator of transcription 4
A_23_P22129,5.33E-01,3.02E-01,-1.05,-6.019477,-8.71E-01,HAP1,huntingtin associated protein 1
A_23_P30634,5.33E-01,3.02E-01,-1.05,-6.01948,-6.16E-01,BACH2,BTB domain and CNC homolog 2
A_24_P714134,5.33E-01,3.02E-01,1.05,-6.019506,5.37E-01,HNRNPKP3,heterogeneous nuclear ribonucleoprotein K pseudogene 3
A_23_P13772,5.33E-01,3.02E-01,-1.05,-6.019506,-3.87E-01,TBX3,T-box 3
A_24_P204860,5.33E-01,3.02E-01,-1.05,-6.019517,-4.98E-01,,
A_23_P8123,5.33E-01,3.02E-01,-1.05,-6.019582,-4.37E-01,,
A_32_P225916,5.33E-01,3.02E-01,-1.05,-6.019585,-4.29E-01,,
A_24_P865,5.33E-01,3.02E-01,-1.05,-6.019723,-4.38E-01,CEP85L,centrosomal protein 85 like
A_32_P15898,5.33E-01,3.02E-01,-1.05,-6.01975,-7.13E-01,,
A_24_P65722,5.33E-01,3.02E-01,1.05,-6.01988,6.93E-01,LILRB4,leukocyte immunoglobulin like receptor B4
A_32_P200537,5.33E-01,3.02E-01,1.05,-6.019899,4.33E-01,LINC00649,long intergenic non-protein coding RNA 649
A_23_P317207,5.33E-01,3.02E-01,1.05,-6.019915,4.94E-01,ATXN7L2,ataxin 7 like 2
A_23_P60248,5.33E-01,3.02E-01,-1.05,-6.01995,-3.52E-01,TXN,thioredoxin
A_32_P228612,5.33E-01,3.02E-01,-1.05,-6.020023,-5.16E-01,LINC00658,long intergenic non-protein coding RNA 658
A_23_P138574,5.33E-01,3.02E-01,1.05,-6.020025,3.65E-01,ATE1,arginyltransferase 1
A_23_P73801,5.33E-01,3.02E-01,-1.05,-6.020044,-2.86E-01,TCEAL1,transcription elongation factor A like 1
A_23_P148629,5.33E-01,3.02E-01,1.05,-6.020184,4.37E-01,EIF1AY,"eukaryotic translation initiation factor 1A, Y-linked"
A_24_P669271,5.33E-01,3.02E-01,1.05,-6.020192,7.04E-01,,
A_32_P4792,5.33E-01,3.02E-01,-1.05,-6.020251,-4.74E-01,,
A_24_P557534,5.33E-01,3.02E-01,-1.05,-6.02026,-3.25E-01,,
A_24_P303589,5.33E-01,3.03E-01,1.05,-6.020399,3.61E-01,CUL1,cullin 1
A_23_P124805,5.33E-01,3.03E-01,-1.05,-6.02042,-4.59E-01,VPS13C,vacuolar protein sorting 13 homolog C
A_23_P205894,5.33E-01,3.03E-01,1.05,-6.02045,9.92E-01,ACTC1,"actin, alpha, cardiac muscle 1"
A_23_P110184,5.33E-01,3.03E-01,-1.05,-6.020547,-5.33E-01,MSMO1,methylsterol monooxygenase 1
A_24_P913156,5.33E-01,3.03E-01,-1.05,-6.020587,-5.48E-01,CYP2U1,cytochrome P450 family 2 subfamily U member 1
A_24_P7629,5.33E-01,3.03E-01,1.05,-6.020614,4.81E-01,RPL32P3,ribosomal protein L32 pseudogene 3
A_24_P924433,5.33E-01,3.03E-01,-1.05,-6.020619,-5.33E-01,,
A_23_P120606,5.33E-01,3.03E-01,-1.05,-6.02063,-4.38E-01,,
A_24_P201171,5.33E-01,3.03E-01,1.05,-6.020762,5.07E-01,STXBP1,syntaxin binding protein 1
A_24_P349788,5.33E-01,3.03E-01,1.05,-6.020772,5.49E-01,C17orf96,chromosome 17 open reading frame 96
A_23_P150053,5.33E-01,3.03E-01,-1.05,-6.020834,-4.65E-01,ACTA2,"actin, alpha 2, smooth muscle, aorta"
A_24_P211906,5.33E-01,3.03E-01,-1.05,-6.020914,-4.98E-01,,
A_24_P649624,5.33E-01,3.03E-01,-1.05,-6.020953,-3.25E-01,KIF1B,kinesin family member 1B
A_23_P90444,5.33E-01,3.03E-01,1.05,-6.020962,2.96E-01,RBM42,RNA binding motif protein 42
A_24_P385190,5.33E-01,3.03E-01,1.05,-6.020992,3.96E-01,SLC4A1,solute carrier family 4 member 1 (Diego blood group)
A_24_P912941,5.33E-01,3.03E-01,1.05,-6.021018,7.60E-01,DNHD1,dynein heavy chain domain 1
A_24_P402078,5.33E-01,3.03E-01,-1.05,-6.021247,-5.49E-01,CASC23,cancer susceptibility candidate 23 (non-protein coding)
A_23_P111005,5.33E-01,3.03E-01,-1.05,-6.021279,-3.96E-01,YIPF3,Yip1 domain family member 3
A_24_P67148,5.33E-01,3.03E-01,1.05,-6.021463,8.12E-01,,
A_32_P15364,5.33E-01,3.03E-01,-1.05,-6.021466,-5.00E-01,,
A_23_P94902,5.33E-01,3.03E-01,-1.05,-6.021488,-6.32E-01,KCTD8,potassium channel tetramerization domain containing 8
A_24_P12059,5.33E-01,3.03E-01,-1.05,-6.021516,-4.93E-01,GYPA,glycophorin A (MNS blood group)
A_23_P74701,5.33E-01,3.03E-01,1.05,-6.021619,4.91E-01,COL24A1,collagen type XXIV alpha 1 chain
A_24_P220058,5.33E-01,3.03E-01,1.05,-6.021626,2.26E-01,MAPRE1,microtubule associated protein RP/EB family member 1
A_23_P4696,5.33E-01,3.03E-01,1.05,-6.021633,5.10E-01,PPAN-P2RY11,PPAN-P2RY11 readthrough
A_23_P79289,5.33E-01,3.03E-01,-1.05,-6.021791,-4.42E-01,COBLL1,cordon-bleu WH2 repeat protein like 1
A_24_P50567,5.34E-01,3.03E-01,-1.05,-6.021959,-2.52E-01,,
A_24_P315405,5.34E-01,3.03E-01,1.05,-6.02196,5.71E-01,,
A_24_P463779,5.34E-01,3.03E-01,-1.05,-6.022004,-5.29E-01,,
A_24_P735179,5.34E-01,3.03E-01,-1.05,-6.022033,-4.62E-01,,
A_23_P1145,5.34E-01,3.03E-01,1.05,-6.022062,2.79E-01,MTPAP,mitochondrial poly(A) polymerase
A_23_P158699,5.34E-01,3.03E-01,-1.05,-6.022126,-5.92E-01,,
A_23_P157465,5.34E-01,3.03E-01,-1.05,-6.022209,-3.26E-01,UBXN8,UBX domain protein 8
A_24_P173895,5.34E-01,3.03E-01,1.05,-6.022222,5.94E-01,,
A_24_P377775,5.34E-01,3.03E-01,-1.05,-6.022225,-4.94E-01,RGS3,regulator of G-protein signaling 3
A_32_P23659,5.34E-01,3.03E-01,-1.05,-6.022229,-4.12E-01,,
A_23_P35456,5.34E-01,3.03E-01,-1.05,-6.022264,-4.18E-01,SH3PXD2A,SH3 and PX domains 2A
A_23_P130293,5.34E-01,3.03E-01,-1.05,-6.022281,-3.59E-01,ANKRD12,ankyrin repeat domain 12
A_23_P136172,5.34E-01,3.03E-01,1.04,-6.02243,2.78E-01,TMEM68,transmembrane protein 68
A_23_P154855,5.34E-01,3.03E-01,1.04,-6.022471,5.36E-01,KCNE1,potassium voltage-gated channel subfamily E regulatory subunit 1
A_32_P96579,5.34E-01,3.03E-01,-1.04,-6.022472,-4.23E-01,,
A_23_P147199,5.34E-01,3.03E-01,-1.04,-6.022511,-2.77E-01,ZNF271P,"zinc finger protein 271, pseudogene"
A_24_P637381,5.34E-01,3.03E-01,-1.04,-6.022525,-4.96E-01,,
A_24_P32527,5.34E-01,3.03E-01,1.04,-6.022566,6.52E-01,,
A_24_P59099,5.34E-01,3.03E-01,1.04,-6.022571,4.65E-01,,
A_24_P323131,5.34E-01,3.03E-01,-1.04,-6.022571,-4.85E-01,TTTY1,"testis-specific transcript, Y-linked 1 (non-protein coding)"
A_23_P342668,5.34E-01,3.03E-01,-1.04,-6.022574,-2.98E-01,AKAP17A,A-kinase anchoring protein 17A
A_32_P923011,5.34E-01,3.04E-01,1.04,-6.022718,4.55E-01,FAM138A,family with sequence similarity 138 member A
A_24_P576506,5.34E-01,3.04E-01,1.04,-6.022786,8.67E-01,SPRN,shadow of prion protein homolog (zebrafish)
A_23_P149707,5.34E-01,3.04E-01,1.04,-6.022789,4.50E-01,DLGAP3,DLG associated protein 3
A_23_P218726,5.34E-01,3.04E-01,1.04,-6.022846,6.08E-01,CPNE1,copine 1
A_24_P273378,5.34E-01,3.04E-01,1.04,-6.023064,7.08E-01,CAMKK2,calcium/calmodulin dependent protein kinase kinase 2
A_32_P170178,5.34E-01,3.04E-01,1.04,-6.023184,5.55E-01,,
A_32_P159334,5.34E-01,3.04E-01,-1.04,-6.023187,-4.64E-01,RECQL,RecQ like helicase
A_32_P117322,5.34E-01,3.04E-01,-1.04,-6.023225,-4.50E-01,,
A_24_P270144,5.34E-01,3.04E-01,1.04,-6.023285,2.33E-01,,
A_23_P19134,5.34E-01,3.04E-01,-1.04,-6.023288,-7.97E-01,ADGRV1,adhesion G protein-coupled receptor V1
A_32_P199002,5.34E-01,3.04E-01,-1.04,-6.023297,-5.84E-01,,
A_24_P912074,5.34E-01,3.04E-01,1.04,-6.023306,6.70E-01,,
A_23_P8452,5.34E-01,3.04E-01,1.04,-6.023321,5.39E-01,LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
A_23_P428827,5.34E-01,3.04E-01,1.04,-6.023381,2.36E-01,AKIRIN2,akirin 2
A_32_P196438,5.34E-01,3.04E-01,-1.04,-6.023478,-6.77E-01,ZNF385B,zinc finger protein 385B
A_23_P407750,5.34E-01,3.04E-01,-1.04,-6.02353,-5.39E-01,,
A_23_P207089,5.34E-01,3.04E-01,1.04,-6.024023,6.11E-01,SHBG,sex hormone binding globulin
A_24_P219053,5.34E-01,3.04E-01,-1.04,-6.024148,-4.68E-01,GPALPP1,GPALPP motifs containing 1
A_24_P324733,5.34E-01,3.04E-01,-1.04,-6.024233,-5.41E-01,PARPBP,PARP1 binding protein
A_24_P213622,5.34E-01,3.04E-01,1.04,-6.0243,7.16E-01,,
A_23_P12858,5.34E-01,3.04E-01,1.04,-6.02433,8.21E-01,TBATA,"thymus, brain and testes associated"
A_24_P143888,5.34E-01,3.04E-01,1.04,-6.024351,3.06E-01,RABL6,"RAB, member RAS oncogene family-like 6"
A_24_P911327,5.34E-01,3.04E-01,1.04,-6.024402,5.04E-01,,
A_24_P179363,5.34E-01,3.04E-01,-1.04,-6.024415,-3.90E-01,GAS2,growth arrest specific 2
A_23_P84872,5.34E-01,3.04E-01,-1.04,-6.024415,-3.06E-01,SECISBP2,SECIS binding protein 2
A_23_P323243,5.34E-01,3.04E-01,-1.04,-6.024488,-9.55E-01,PNLDC1,"PARN like, ribonuclease domain containing 1"
A_24_P919750,5.34E-01,3.04E-01,-1.04,-6.024644,-4.99E-01,,
A_23_P316974,5.34E-01,3.04E-01,1.04,-6.024658,2.98E-01,SYNJ2,synaptojanin 2
A_24_P33446,5.34E-01,3.04E-01,-1.04,-6.024667,-4.93E-01,KRTAP5-AS1,KRTAP5-1/KRTAP5-2 antisense RNA 1
A_24_P758926,5.34E-01,3.04E-01,-1.04,-6.024679,-5.14E-01,,
A_24_P273114,5.34E-01,3.04E-01,1.04,-6.024692,3.85E-01,,
A_23_P120125,5.34E-01,3.04E-01,-1.04,-6.024705,-5.68E-01,COLEC11,collectin subfamily member 11
A_32_P61480,5.34E-01,3.04E-01,-1.04,-6.024744,-4.83E-01,CASC2,cancer susceptibility candidate 2 (non-protein coding)
A_24_P621383,5.34E-01,3.04E-01,1.04,-6.024756,6.84E-01,RASA4CP,"RAS p21 protein activator 4C, pseudogene"
A_32_P141296,5.35E-01,3.05E-01,1.04,-6.024905,3.42E-01,,
A_24_P922838,5.35E-01,3.05E-01,-1.04,-6.024968,-4.78E-01,,
A_24_P308506,5.35E-01,3.05E-01,1.04,-6.025097,6.17E-01,NAT8B,"N-acetyltransferase 8B (putative, gene/pseudogene)"
A_23_P332908,5.35E-01,3.05E-01,1.04,-6.025167,3.52E-01,ZFC3H1,zinc finger C3H1-type containing
A_23_P105307,5.35E-01,3.05E-01,1.04,-6.02538,3.23E-01,DGKA,diacylglycerol kinase alpha
A_24_P464489,5.35E-01,3.05E-01,1.04,-6.025458,5.19E-01,,
A_24_P304311,5.35E-01,3.05E-01,1.04,-6.025491,6.15E-01,SLC22A8,solute carrier family 22 member 8
A_23_P7985,5.35E-01,3.05E-01,1.04,-6.025541,6.36E-01,BTN1A1,butyrophilin subfamily 1 member A1
A_24_P417220,5.35E-01,3.05E-01,1.04,-6.02564,2.41E-01,,
A_24_P574599,5.35E-01,3.05E-01,-1.04,-6.025672,-4.96E-01,LINC01370,long intergenic non-protein coding RNA 1370
A_32_P51014,5.35E-01,3.05E-01,-1.04,-6.025694,-5.40E-01,,
A_23_P94141,5.35E-01,3.05E-01,1.04,-6.025707,4.42E-01,RAD54B,RAD54 homolog B (S. cerevisiae)
A_24_P212297,5.35E-01,3.05E-01,-1.04,-6.025996,-4.55E-01,PIEZO2,piezo type mechanosensitive ion channel component 2
A_24_P306968,5.35E-01,3.05E-01,-1.04,-6.026029,-3.05E-01,,
A_23_P396541,5.35E-01,3.05E-01,-1.04,-6.026195,-3.13E-01,TADA2B,transcriptional adaptor 2B
A_32_P187126,5.35E-01,3.05E-01,-1.04,-6.026205,-4.52E-01,,
A_24_P791862,5.35E-01,3.05E-01,-1.04,-6.026221,-4.54E-01,,
A_32_P144960,5.35E-01,3.05E-01,1.04,-6.026221,2.08E-01,SUMO2,small ubiquitin-like modifier 2
A_24_P358667,5.35E-01,3.05E-01,-1.04,-6.026249,-6.97E-01,LOC105376790,uncharacterized LOC105376790
A_32_P114746,5.35E-01,3.05E-01,1.04,-6.026431,5.65E-01,C1orf111,chromosome 1 open reading frame 111
A_24_P933291,5.35E-01,3.05E-01,-1.04,-6.026455,-5.47E-01,,
A_23_P427122,5.35E-01,3.05E-01,-1.04,-6.026508,-4.41E-01,ART5,ADP-ribosyltransferase 5
A_24_P348006,5.35E-01,3.05E-01,-1.04,-6.02651,-6.41E-01,RASD1,ras related dexamethasone induced 1
A_24_P934679,5.35E-01,3.05E-01,1.04,-6.026562,4.49E-01,,
A_23_P170820,5.35E-01,3.05E-01,1.04,-6.026598,2.14E-01,PUM1,pumilio RNA binding family member 1
A_23_P120915,5.35E-01,3.05E-01,1.04,-6.026598,2.10E-01,ANKRD54,ankyrin repeat domain 54
A_24_P623734,5.35E-01,3.05E-01,-1.04,-6.026611,-5.15E-01,C2orf72,chromosome 2 open reading frame 72
A_23_P55749,5.35E-01,3.05E-01,1.04,-6.026664,4.82E-01,COL5A3,collagen type V alpha 3 chain
A_24_P168033,5.35E-01,3.05E-01,1.04,-6.026773,6.71E-01,FOXJ1,forkhead box J1
A_24_P751082,5.36E-01,3.05E-01,1.04,-6.026975,4.61E-01,,
A_32_P87476,5.36E-01,3.05E-01,1.04,-6.027022,7.58E-01,,
A_23_P104692,5.36E-01,3.06E-01,1.04,-6.027123,2.96E-01,PELI3,pellino E3 ubiquitin protein ligase family member 3
A_23_P91769,5.36E-01,3.06E-01,1.04,-6.027131,2.40E-01,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6
A_23_P310022,5.36E-01,3.06E-01,-1.04,-6.027164,-3.44E-01,KIAA1217,KIAA1217
A_23_P141163,5.36E-01,3.06E-01,-1.04,-6.027303,-5.03E-01,DGKE,diacylglycerol kinase epsilon
A_24_P373174,5.36E-01,3.06E-01,-1.04,-6.027348,-3.89E-01,RAB27A,"RAB27A, member RAS oncogene family"
A_23_P53211,5.36E-01,3.06E-01,-1.04,-6.027436,-4.98E-01,PLEKHB1,pleckstrin homology domain containing B1
A_23_P41804,5.36E-01,3.06E-01,-1.04,-6.027491,-7.27E-01,NKD2,naked cuticle homolog 2
A_23_P155162,5.36E-01,3.06E-01,1.04,-6.027624,7.03E-01,PANX2,pannexin 2
A_23_P10753,5.36E-01,3.06E-01,-1.04,-6.027639,-5.59E-01,,
A_24_P184535,5.36E-01,3.06E-01,1.04,-6.027839,2.86E-01,C12orf4,chromosome 12 open reading frame 4
A_32_P32091,5.36E-01,3.06E-01,-1.04,-6.027848,-4.81E-01,,
A_23_P417853,5.36E-01,3.06E-01,1.04,-6.027852,7.89E-01,MYO3B,myosin IIIB
A_32_P185718,5.36E-01,3.06E-01,1.04,-6.02787,8.63E-01,,
A_24_P731352,5.36E-01,3.06E-01,1.04,-6.027915,7.01E-01,LOC100419920,ankyrin repeat domain 33B pseudogene
A_24_P367900,5.36E-01,3.06E-01,1.04,-6.028192,4.67E-01,ANGPT2,angiopoietin 2
A_23_P50000,5.36E-01,3.06E-01,-1.04,-6.02823,-2.80E-01,FAM57A,family with sequence similarity 57 member A
A_23_P77048,5.36E-01,3.06E-01,-1.04,-6.028279,-4.30E-01,SLC25A29,solute carrier family 25 member 29
A_23_P33903,5.36E-01,3.06E-01,-1.04,-6.028301,-7.65E-01,NLGN4Y,"neuroligin 4, Y-linked"
A_32_P188620,5.36E-01,3.06E-01,-1.04,-6.028316,-4.52E-01,,
A_24_P268196,5.36E-01,3.06E-01,-1.04,-6.028321,-2.74E-01,LZIC,leucine zipper and CTNNBIP1 domain containing
A_23_P2501,5.36E-01,3.06E-01,-1.04,-6.028329,-6.18E-01,PAH,phenylalanine hydroxylase
A_23_P169470,5.36E-01,3.06E-01,1.04,-6.028377,3.18E-01,CDK9,cyclin dependent kinase 9
